family,corpus,d,q,before_ns,after_ns,after_over_before,before_lower_ns,before_upper_ns,after_lower_ns,after_upper_ns
dyn_div,regular,3072,3072,1242881.6368530157,1278246.5258261359,1.028453947604105,1233881.2124253733,1253837.3932906562,1232925.655043687,1335079.3346250046
dyn_div,regular,192,576,205219.07534566466,200319.14694840365,0.976123426201937,203782.60856906083,206778.11495310438,199287.9978345342,201427.88087940277
dyn_div,regular,96,768,191666.55880513674,191181.45791386382,0.9974690374038274,189651.07998109778,194392.33049302147,190185.2436259252,192256.36806636926
dyn_div,regular,224,672,256876.2406754301,253213.02827556749,0.9857393880016674,253897.1295332599,260396.90454591854,252163.06977959076,254326.9472799312
dyn_div,regular,192,1536,629521.4312327092,631850.1799110045,1.0036992365354984,626825.4931761858,632604.0542708667,629293.7019559629,634421.6662168496
dyn_div,regular,4096,12288,5886863.194444445,5950773.261111112,1.0108563872737828,5819621.748194445,5961980.927222221,5867925.521388889,6045950.498749999
dyn_div,regular,384,1152,427758.72844031116,434228.415005119,1.0151246161320835,425256.2644939296,430608.70561397553,416005.980533852,456119.51122657885
dyn_div,regular,4096,32768,17199996.316666666,17178468.333333332,0.9987483727939829,17068084.967083335,17339638.867083333,17017749.147916667,17356124.275833335
dyn_div,regular,96,288,113155.8710864431,71952.10837331087,0.6358672129203489,110554.45461916912,117478.54187696017,71649.30863374622,72281.2535342175
dyn_div,regular,96,96,16386.647633393677,15523.433806667885,0.9473221218861945,16124.47686373811,16728.941285233308,15398.445111692858,15661.706750544352
dyn_div,regular,768,768,289133.9319214188,276515.97649116494,0.9563594789916142,278021.91597855365,302656.8298520529,274264.0231711017,279078.3961674017
dyn_div,regular,768,6144,5007496.861904761,2616596.1595438127,0.5225357562278146,4961986.756666667,5056481.34202381,2585123.7161222626,2654505.0530928564
dyn_div,regular,224,1792,821141.6273164331,664510.063561002,0.8092514633957634,791340.7240654625,857435.2734760371,659919.2678442133,669668.0670092214
dyn_div,regular,768,384,170762.5831610009,167735.99987144387,0.9822760745736467,164281.98054447258,178798.2599397748,164421.55558550413,172165.6428051478
dyn_div,regular,384,3072,2059391.0809088796,1181341.4505297123,0.5736362857356583,2050592.5819169574,2069196.1146806169,1135358.4904752339,1238247.7046126218
dyn_div,regular,192,96,15929.243971541253,15324.187879055618,0.9620160194942955,15793.557262147067,16077.065558716415,15266.569597453685,15386.018057415675
dyn_div,regular,384,192,59741.60503950161,57427.40223240481,0.9612631296804526,57398.94010162438,62603.0031661814,57159.31756539326,57715.794292098784
dyn_div,regular,4096,2048,788916.5099378924,797701.9297237735,1.011136057713601,784883.8283747992,794039.2028009625,792607.5033396969,803078.5794420287
dyn_div,regular,96,48,5403.969276072543,5313.760310390857,0.9833069062621971,5362.273682493024,5454.402905082072,5266.201041965161,5360.415737338671
dyn_div,regular,1536,4608,1884692.7252176185,1905741.2759085586,1.0111681604164464,1876689.3870189153,1893420.468183278,1892245.4312973567,1920014.2971803972
dyn_div,regular,1536,1536,561365.2431463267,581692.2311472744,1.0362099154679036,557067.6927547492,565736.234032071,576109.5122220033,587952.2677072795
dyn_div,regular,3072,1536,568485.949183566,592292.2349172088,1.041876647554495,565487.4993009601,571817.8343971465,569089.3868769152,620686.1094976136
dyn_div,regular,192,192,58841.44540209334,57247.01159330078,0.9729028782706306,58543.463300042255,59134.65606524835,56903.41002435096,57637.30467171186
dyn_div,regular,1536,12288,5790758.211111111,5792532.955555555,1.0003064787683658,5757348.00986111,5825998.777777778,5724178.940416666,5881369.810138889
dyn_div,regular,224,112,20074.960297919766,20208.497189755974,1.006651913122341,19947.652874824005,20228.951254651867,20102.64565377802,20319.335552653334
dyn_div,regular,3072,9216,4168515.4125,4243805.850574324,1.0180616911835212,4135952.3936458332,4204480.150729167,4115356.991874149,4426447.857735014
dyn_div,regular,3072,24576,12442239.122222224,12537185.811111111,1.0076309969577188,12377505.177222222,12507158.06277778,12387964.076944446,12726905.55888889
dyn_div,regular,768,2304,904004.16206957,858791.5706421323,0.9499863016958563,871186.0736619937,945206.715698116,852082.3614009443,866825.2194504117
dyn_div,regular,384,384,163842.8546354439,164016.5036552657,1.001059851039633,162507.79791989952,165411.0536109645,162323.1382271303,166356.2041597077
dyn_div,regular,1536,768,281295.0576420251,289952.35750621965,1.0307765800677942,278439.56349500635,285095.2849161417,287732.93870086723,292174.89181640465
dyn_div,regular,4096,4096,1700423.647780579,1717603.6063917535,1.0101033402079522,1690585.3097293482,1710818.6886254156,1708346.078692922,1726934.813962971
dyn_div,regular,224,224,72375.40114591843,71383.66072477336,0.9862972722023939,71872.91596719793,72909.24221066468,71088.15818310925,71718.80119540145
dyn_rem,regular,3072,3072,1792016.3298235075,1779581.5223537013,0.9930609965641156,1778781.6128796602,1807636.6918149628,1768614.8338899966,1792225.8037438074
dyn_rem,regular,192,576,243155.9251611656,250332.30853122912,1.0295135040008052,241833.95764861643,244523.37020578532,249132.2555806706,251603.58358673635
dyn_rem,regular,96,768,195172.0919054189,190445.21523932595,0.9757809806722592,193737.76278575585,196740.17323570457,189628.5792103957,191372.13447500116
dyn_rem,regular,224,672,307516.8760569981,283931.93564313534,0.9233052159079188,305539.54462748265,309822.21270037565,282151.48287979764,286157.6437537567
dyn_rem,regular,192,1536,644466.9550502907,634512.9053305284,0.9845546002913593,640839.54317152,647983.033448105,630865.1658483313,638603.8873287681
