family,bz_cutoff,d,q,nr_over_bz,nr_over_bz_lower,nr_over_bz_upper,nr_over_knuth,nr_over_knuth_lower,nr_over_knuth_upper
dyn_div,48,48,12,0.8865555874706246,0.8803445828138529,0.8931419840408164,0.8616950561538229,0.8570510613550679,0.866795370389525
dyn_div,48,48,24,0.7294838542764082,0.7240145524643561,0.7356455663936298,0.7208985358613548,0.7171679441242691,0.7265411545894247
dyn_div,48,48,48,0.8397263668035893,0.82485994253003,0.8598608303045903,0.832558448423682,0.8298006119968911,0.8357439832330996
dyn_div,48,48,96,1.191091775105245,1.1877049931159422,1.1944616936197376,1.192256664348193,1.1874884914133739,1.1969908953070751
dyn_div,48,48,192,2.3039306458606146,2.2699064978323413,2.3505898004960315,2.3130753548611107,2.302496932642361,2.3236059744791664
dyn_div,48,48,384,3.2858361590410055,3.249558253948413,3.328403206580853,3.3125312418990926,3.3030463720068024,3.3215421683426873
dyn_div,48,64,16,0.6301355213803633,0.6182225834353299,0.6442224767377001,0.6401855933014403,0.6385109063662552,0.6418111467407408
dyn_div,48,64,32,0.598489153992119,0.5958946016937509,0.6013157956793486,0.6093466194169928,0.6063252119562337,0.6124735168607307
dyn_div,48,64,64,0.8103859425992065,0.8086157567406206,0.8126231524621212,0.8221266228100906,0.8198665828265307,0.8243477930561224
dyn_div,48,64,128,1.1726459663447972,1.1679630847955247,1.1770790234876543,1.3167417036535303,1.311586779860427,1.322829659269294
dyn_div,48,64,256,1.867181514150794,1.8603319226666666,1.8737392806365079,2.1633324008621932,2.153417599666305,2.174844863968254
dyn_div,48,64,512,1.8245177437698417,1.8153668620111114,1.833173777888889,2.1446387881084656,2.129547867037037,2.160602087747024
dyn_div,48,80,20,0.5074052414688554,0.5040893107617845,0.5111819572968225,0.50932010645686,0.5074763463790665,0.5109868718066359
dyn_div,48,80,40,0.5440309253139589,0.5366985893039216,0.5513985924925304,0.5367333946639964,0.533307614371829,0.540700975360703
dyn_div,48,80,80,0.644742738980464,0.6413101091997865,0.6496641869352869,0.7492132010962302,0.7462763812178819,0.7518349560119048
dyn_div,48,80,160,1.0376821726146384,1.0353829576967593,1.0399424950220457,1.2150219161000884,1.2045307164276342,1.228281586969632
dyn_div,48,80,320,1.7770253765136053,1.7658411250408161,1.7886670268367348,2.103420449251701,2.090376264595238,2.117550623426871
dyn_div,48,80,640,1.5211267143253968,1.508135659325397,1.5366412468675594,1.7909852662003967,1.7856284159791664,1.7961840942132936
dyn_div,48,96,24,0.41910458151172786,0.4161003894979653,0.4222419533809461,0.42455770520240593,0.4221745464521626,0.4278371612268893
dyn_div,48,96,48,0.47689674200823795,0.4745853833861513,0.4789996273050784,0.48497021533432544,0.4831794215218254,0.4868404220426587
dyn_div,48,96,96,0.6393187239425772,0.636364346091912,0.6430814217843138,0.7189748435626102,0.7166872057848324,0.7214370118187831
dyn_div,48,96,192,1.230080751019536,1.2174784641804028,1.2444526742075703,1.3437563973412698,1.3375203741269843,1.3497284445352566
dyn_div,48,96,384,1.745892362134921,1.7305188462031744,1.7659724483690475,1.9364148076190477,1.927625306111111,1.9465054492857143
dyn_div,48,96,768,1.477717973888889,1.4638220316666668,1.4928064025833332,1.6488058780952384,1.6414710780952382,1.6556263705555554
dyn_div,48,128,32,0.3552809498730159,0.35210733604646816,0.3582843833285714,,,
dyn_div,48,128,64,0.46542215621580546,0.4644659992632979,0.46628670994934146,,,
dyn_div,48,128,128,0.6357114985416666,0.6351295402083335,0.6363549506354167,,,
dyn_div,48,128,256,1.0969060219642857,1.090680122422619,1.1042863248824406,,,
dyn_div,48,128,512,1.110907553670635,1.1002591354092262,1.119917869920635,,,
dyn_div,48,128,1024,1.1643611401785714,1.1381805493452382,1.200641343095238,,,
dyn_div,48,160,40,0.31519786316633597,0.314128095613426,0.31647060469721405,,,
dyn_div,48,160,80,0.4453404829240362,0.4436826448623583,0.4470492804795918,,,
dyn_div,48,160,160,0.6139429929166667,0.6124582869642858,0.6155318876309525,,,
dyn_div,48,160,320,1.0529651149682537,1.0452784080000002,1.0614982123333332,,,
dyn_div,48,160,640,0.8885590574206349,0.8739209156378968,0.9083923613095239,,,
dyn_div,48,160,1280,0.8884065319841269,0.8734339583333333,0.9051150933333334,,,
dyn_div,48,224,56,0.259495409898374,0.2562549058536585,0.26361109030792684,,,
dyn_div,48,224,112,0.4092223810383598,0.4059156833993056,0.41269859491319444,,,
dyn_div,48,224,224,0.7216584054861112,0.7176788009288194,0.7263133852777778,,,
dyn_div,48,224,448,0.7021414102976189,0.6969601690476191,0.708151325297619,,,
dyn_div,48,224,896,0.7565748444246032,0.75247863803125,0.7609668992767856,,,
dyn_div,48,224,1792,0.7980152926587302,0.7895797917539682,0.8073074888839287,,,
dyn_div,48,384,96,0.22008611298611114,0.219019910625,0.22124100145833334,,,
dyn_div,48,384,192,0.42161835281746024,0.4176463186507937,0.42585865544543655,,,
dyn_div,48,384,384,0.6512326477645503,0.6456777905648148,0.6588538112962963,,,
dyn_div,48,384,768,0.545137977003968,0.540044984767361,0.5502551858363096,,,
dyn_div,48,384,1536,0.5524713822619047,0.5484914055952381,0.5558723097619047,,,
dyn_div,48,384,3072,0.5894492000000001,0.5818584,0.5990761808333334,,,
dyn_div,48,787,197,0.21755441584325397,0.21568830341269843,0.21941618307589286,,,
dyn_div,48,787,394,0.3170260741468254,0.3095564436111111,0.3268654449999999,,,
dyn_div,48,787,787,0.4201110375793651,0.41539893535714284,0.4246320504335318,,,
dyn_div,48,787,1574,0.4418756642460317,0.4380973568204365,0.44563816126984124,,,
dyn_div,48,787,3148,0.47702279999999997,0.4678584,0.48712652875,,,
dyn_div,48,787,6296,1.4140287,1.3897372025,1.4347573075000002,,,
dyn_div,48,1573,393,0.16406448,0.16102420893750002,0.16824981416666665,,,
dyn_div,48,1573,787,0.21367782750000006,0.2109888475,0.21624745114583332,,,
dyn_div,48,1573,1573,0.37244458075396825,0.3703736068650793,0.37440932953968253,,,
dyn_div,48,1573,3146,0.4098852,0.39880230124999994,0.42241319125000004,,,
dyn_div,48,1573,6292,1.1292714,1.1099294375,1.1480828,,,
dyn_div,48,1573,12584,1.372195,1.3627407,1.3817685,,,
dyn_div,48,3109,777,0.12053416666666668,0.11859689999999999,0.12237268583333334,,,
dyn_div,48,3109,1555,0.188294,0.1850392775,0.191979005,,,
dyn_div,48,3109,3109,0.36925234999999995,0.36392907375,0.3752813675,,,
dyn_div,48,3109,6218,0.3988041,0.3900136925,0.40748943,,,
dyn_div,48,3109,12436,1.3343795,1.3139868275000002,1.3537878225,,,
dyn_div,48,3109,24872,1.1343665,1.1158860825,1.15042774,,,
dyn_div,64,48,12,0.8565787057062648,0.8520422716716164,0.8615735061702129,0.8616950561538229,0.8570510613550679,0.866795370389525
dyn_div,64,48,24,0.7203800414599648,0.7169627634218255,0.7236501284148149,0.7208985358613548,0.7171679441242691,0.7265411545894247
dyn_div,64,48,48,0.8321466251872868,0.8275968173812306,0.8366469578875538,0.832558448423682,0.8298006119968911,0.8357439832330996
dyn_div,64,48,96,1.1903796824076949,1.18421500450537,1.1982834824778077,1.192256664348193,1.1874884914133739,1.1969908953070751
dyn_div,64,48,192,2.24345881499504,2.234760611076389,2.2510040127310273,2.3130753548611107,2.302496932642361,2.3236059744791664
dyn_div,64,48,384,3.234366411927437,3.196978377936508,3.291551236530612,3.3125312418990926,3.3030463720068024,3.3215421683426873
dyn_div,64,64,16,0.6262889184972459,0.6240970257236141,0.6284780530899077,0.6401855933014403,0.6385109063662552,0.6418111467407408
dyn_div,64,64,32,0.6078671360333769,0.5999861866782861,0.6200946095134405,0.6093466194169928,0.6063252119562337,0.6124735168607307
dyn_div,64,64,64,0.8129834210656774,0.8107861462708189,0.8150833219907263,0.8221266228100906,0.8198665828265307,0.8243477930561224
